 ,Label,Area,XM,YM,Perim.,Circ.,AR,Round,Solidity
674,Image01_cropped.jpg,1,2396.50000,2669.50000,2.82843,1.00000,1.00000,1.00000,1.00000
675,Image01_cropped.jpg,1,2400.50000,2669.50000,2.82843,1.00000,1.00000,1.00000,1.00000
676,Image01_cropped.jpg,1,3197.50000,2669.50000,2.82843,1.00000,1.00000,1.00000,1.00000
677,Image01_cropped.jpg,1,3315.50000,2669.50000,2.82843,1.00000,1.00000,1.00000,1.00000
678,Image01_cropped.jpg,1,2227.50000,2670.50000,2.82843,1.00000,1.00000,1.00000,1.00000
679,Image01_cropped.jpg,2,2258.00000,2671.00000,5.65685,0.78540,2.64575,0.37796,0.66667
680,Image01_cropped.jpg,24,2264.33333,2675.41667,33.45584,0.26945,2.61957,0.38174,0.55814
681,Image01_cropped.jpg,3,2273.83333,2670.83333,5.65685,1.00000,1.46385,0.68313,0.85714
682,Image01_cropped.jpg,47,2290.18085,2676.39362,81.88225,0.08809,2.50053,0.39992,0.40693
683,Image01_cropped.jpg,1,2398.50000,2670.50000,2.82843,1.00000,1.00000,1.00000,1.00000
684,Image01_cropped.jpg,2,3296.00000,2671.00000,5.65685,0.78540,2.64575,0.37796,0.66667
685,Image01_cropped.jpg,2,2229.00000,2672.00000,5.65685,0.78540,2.64575,0.37796,0.66667
686,Image01_cropped.jpg,7,2250.50000,2673.07143,11.89949,0.62123,1.85018,0.54049,0.70000
687,Image01_cropped.jpg,1,2254.50000,2671.50000,2.82843,1.00000,1.00000,1.00000,1.00000
688,Image01_cropped.jpg,1,2310.50000,2671.50000,2.82843,1.00000,1.00000,1.00000,1.00000
689,Image01_cropped.jpg,1,2378.50000,2671.50000,2.82843,1.00000,1.00000,1.00000,1.00000
690,Image01_cropped.jpg,1,3262.50000,2671.50000,2.82843,1.00000,1.00000,1.00000,1.00000
691,Image01_cropped.jpg,1,3336.50000,2671.50000,2.82843,1.00000,1.00000,1.00000,1.00000
692,Image01_cropped.jpg,4,2238.50000,2673.00000,7.07107,1.00000,2.03127,0.49230,0.80000
693,Image01_cropped.jpg,3,2241.83333,2673.50000,8.48528,0.52360,1.56670,0.63828,0.60000
694,Image01_cropped.jpg,2,2247.50000,2673.00000,4.82843,1.00000,2.00000,0.50000,1.00000
695,Image01_cropped.jpg,2,2277.00000,2673.00000,5.65685,0.78540,2.64575,0.37796,0.66667
696,Image01_cropped.jpg,1,2280.50000,2672.50000,2.82843,1.00000,1.00000,1.00000,1.00000
697,Image01_cropped.jpg,3,2303.50000,2672.83333,7.07107,0.75398,2.70203,0.37009,0.66667
698,Image01_cropped.jpg,3,2312.50000,2673.16667,7.07107,0.75398,2.70203,0.37009,0.66667
699,Image01_cropped.jpg,5,2336.70000,2673.70000,8.48528,0.87266,1.88180,0.53141,0.71429
700,Image01_cropped.jpg,1,2385.50000,2672.50000,2.82843,1.00000,1.00000,1.00000,1.00000
701,Image01_cropped.jpg,1,2388.50000,2672.50000,2.82843,1.00000,1.00000,1.00000,1.00000
702,Image01_cropped.jpg,1,2390.50000,2672.50000,2.82843,1.00000,1.00000,1.00000,1.00000
703,Image01_cropped.jpg,3,3196.83333,2673.50000,8.48528,0.52360,1.56670,0.63828,0.60000
704,Image01_cropped.jpg,1,3385.50000,2672.50000,2.82843,1.00000,1.00000,1.00000,1.00000
705,Image01_cropped.jpg,1,2232.50000,2673.50000,2.82843,1.00000,1.00000,1.00000,1.00000
706,Image01_cropped.jpg,1,2259.50000,2673.50000,2.82843,1.00000,1.00000,1.00000,1.00000
707,Image01_cropped.jpg,1,2266.50000,2673.50000,2.82843,1.00000,1.00000,1.00000,1.00000
708,Image01_cropped.jpg,1,2306.50000,2673.50000,2.82843,1.00000,1.00000,1.00000,1.00000
709,Image01_cropped.jpg,1,2365.50000,2673.50000,2.82843,1.00000,1.00000,1.00000,1.00000
710,Image01_cropped.jpg,2,2395.00000,2673.50000,4.24264,1.00000,2.00000,0.50000,1.00000
711,Image01_cropped.jpg,1,3289.50000,2673.50000,2.82843,1.00000,1.00000,1.00000,1.00000
712,Image01_cropped.jpg,1,3390.50000,2673.50000,2.82843,1.00000,1.00000,1.00000,1.00000
713,Image01_cropped.jpg,1,2202.50000,2674.50000,2.82843,1.00000,1.00000,1.00000,1.00000
714,Image01_cropped.jpg,1,2257.50000,2674.50000,2.82843,1.00000,1.00000,1.00000,1.00000
715,Image01_cropped.jpg,3,2283.50000,2674.50000,6.24264,0.96737,3.00000,0.33333,1.00000
716,Image01_cropped.jpg,14,2300.21429,2676.57143,28.97056,0.20962,3.73677,0.26761,0.47458
717,Image01_cropped.jpg,1,2309.50000,2674.50000,2.82843,1.00000,1.00000,1.00000,1.00000
718,Image01_cropped.jpg,1,2326.50000,2674.50000,2.82843,1.00000,1.00000,1.00000,1.00000
719,Image01_cropped.jpg,9,2344.38889,2676.27778,22.38478,0.22571,2.56850,0.38933,0.43902
720,Image01_cropped.jpg,1,2360.50000,2674.50000,2.82843,1.00000,1.00000,1.00000,1.00000
721,Image01_cropped.jpg,6,2364.16667,2676.66667,12.48528,0.48369,2.68073,0.37303,0.57143
722,Image01_cropped.jpg,5,2379.30000,2674.90000,7.07107,1.00000,1.55299,0.64392,0.90909
723,Image01_cropped.jpg,1,3201.50000,2674.50000,2.82843,1.00000,1.00000,1.00000,1.00000
724,Image01_cropped.jpg,3,3368.16667,2674.83333,5.65685,1.00000,1.46385,0.68313,0.85714
725,Image01_cropped.jpg,1,2243.50000,2675.50000,2.82843,1.00000,1.00000,1.00000,1.00000
726,Image01_cropped.jpg,2,2252.50000,2676.00000,4.82843,1.00000,2.00000,0.50000,1.00000
727,Image01_cropped.jpg,1,2260.50000,2675.50000,2.82843,1.00000,1.00000,1.00000,1.00000
728,Image01_cropped.jpg,2,2268.50000,2676.00000,4.82843,1.00000,2.00000,0.50000,1.00000
729,Image01_cropped.jpg,5,2271.90000,2676.30000,7.65685,1.00000,1.55299,0.64392,0.90909
730,Image01_cropped.jpg,10,2278.60000,2676.60000,14.72792,0.57933,1.39707,0.71578,0.64516
731,Image01_cropped.jpg,2,2313.00000,2675.50000,4.24264,1.00000,2.00000,0.50000,1.00000
732,Image01_cropped.jpg,5,2334.10000,2676.30000,7.65685,1.00000,1.55299,0.64392,0.90909
733,Image01_cropped.jpg,1,3103.50000,2675.50000,2.82843,1.00000,1.00000,1.00000,1.00000
734,Image01_cropped.jpg,1,3299.50000,2675.50000,2.82843,1.00000,1.00000,1.00000,1.00000
735,Image01_cropped.jpg,3,3324.16667,2675.83333,5.65685,1.00000,1.46385,0.68313,0.85714
736,Image01_cropped.jpg,1,3370.50000,2675.50000,2.82843,1.00000,1.00000,1.00000,1.00000
737,Image01_cropped.jpg,1,2202.50000,2676.50000,2.82843,1.00000,1.00000,1.00000,1.00000
738,Image01_cropped.jpg,5,2228.70000,2677.30000,9.65685,0.67377,2.74897,0.36377,0.76923
739,Image01_cropped.jpg,1,2240.50000,2676.50000,2.82843,1.00000,1.00000,1.00000,1.00000
740,Image01_cropped.jpg,2,2310.00000,2677.00000,5.65685,0.78540,2.64575,0.37796,0.66667
741,Image01_cropped.jpg,1,2315.50000,2676.50000,2.82843,1.00000,1.00000,1.00000,1.00000
742,Image01_cropped.jpg,7,2326.50000,2678.21429,14.48528,0.41923,1.56962,0.63710,0.66667
743,Image01_cropped.jpg,1,2339.50000,2676.50000,2.82843,1.00000,1.00000,1.00000,1.00000
744,Image01_cropped.jpg,2,2353.00000,2676.50000,4.24264,1.00000,2.00000,0.50000,1.00000
745,Image01_cropped.jpg,2,2358.00000,2676.50000,4.24264,1.00000,2.00000,0.50000,1.00000
746,Image01_cropped.jpg,1,2439.50000,2676.50000,2.82843,1.00000,1.00000,1.00000,1.00000
747,Image01_cropped.jpg,1,3287.50000,2676.50000,2.82843,1.00000,1.00000,1.00000,1.00000
748,Image01_cropped.jpg,3,3293.50000,2676.83333,7.07107,0.75398,2.70203,0.37009,0.66667
749,Image01_cropped.jpg,2,3305.50000,2677.00000,4.82843,1.00000,2.00000,0.50000,1.00000
750,Image01_cropped.jpg,2,3312.00000,2677.00000,5.65685,0.78540,2.64575,0.37796,0.66667
751,Image01_cropped.jpg,1,3359.50000,2676.50000,2.82843,1.00000,1.00000,1.00000,1.00000
752,Image01_cropped.jpg,9,2249.83333,2679.72222,18.14214,0.34362,1.63936,0.61000,0.50000
753,Image01_cropped.jpg,2,2312.00000,2678.00000,5.65685,0.78540,2.64575,0.37796,0.66667
754,Image01_cropped.jpg,1,2323.50000,2677.50000,2.82843,1.00000,1.00000,1.00000,1.00000
755,Image01_cropped.jpg,2,2348.00000,2678.00000,5.65685,0.78540,2.64575,0.37796,0.66667
756,Image01_cropped.jpg,1,2373.50000,2677.50000,2.82843,1.00000,1.00000,1.00000,1.00000
757,Image01_cropped.jpg,1,2380.50000,2677.50000,2.82843,1.00000,1.00000,1.00000,1.00000
758,Image01_cropped.jpg,1,2387.50000,2677.50000,2.82843,1.00000,1.00000,1.00000,1.00000
759,Image01_cropped.jpg,1,3069.50000,2677.50000,2.82843,1.00000,1.00000,1.00000,1.00000
760,Image01_cropped.jpg,1,3357.50000,2677.50000,2.82843,1.00000,1.00000,1.00000,1.00000
761,Image01_cropped.jpg,1,3371.50000,2677.50000,2.82843,1.00000,1.00000,1.00000,1.00000
762,Image01_cropped.jpg,1,2175.50000,2678.50000,2.82843,1.00000,1.00000,1.00000,1.00000
763,Image01_cropped.jpg,2,2238.00000,2679.00000,5.65685,0.78540,2.64575,0.37796,0.66667
764,Image01_cropped.jpg,2,2241.00000,2679.00000,5.65685,0.78540,2.64575,0.37796,0.66667
765,Image01_cropped.jpg,12,2257.25000,2680.33333,26.38478,0.21661,1.52338,0.65644,0.54545
766,Image01_cropped.jpg,1,2276.50000,2678.50000,2.82843,1.00000,1.00000,1.00000,1.00000
767,Image01_cropped.jpg,6,2306.00000,2679.66667,12.72792,0.46542,2.30143,0.43451,0.57143
768,Image01_cropped.jpg,5,2315.10000,2679.70000,11.31371,0.49087,2.13582,0.46820,0.66667
769,Image01_cropped.jpg,1,2321.50000,2678.50000,2.82843,1.00000,1.00000,1.00000,1.00000
770,Image01_cropped.jpg,2,2356.00000,2679.00000,5.65685,0.78540,2.64575,0.37796,0.66667
771,Image01_cropped.jpg,3,2362.16667,2678.83333,5.65685,1.00000,1.46385,0.68313,0.85714
772,Image01_cropped.jpg,3,2370.83333,2679.50000,7.65685,0.64303,2.70203,0.37009,0.66667
773,Image01_cropped.jpg,2,2375.50000,2679.00000,4.82843,1.00000,2.00000,0.50000,1.00000
774,Image01_cropped.jpg,1,2383.50000,2678.50000,2.82843,1.00000,1.00000,1.00000,1.00000
775,Image01_cropped.jpg,1,2419.50000,2678.50000,2.82843,1.00000,1.00000,1.00000,1.00000
776,Image01_cropped.jpg,1,3093.50000,2678.50000,2.82843,1.00000,1.00000,1.00000,1.00000
777,Image01_cropped.jpg,1,3377.50000,2678.50000,2.82843,1.00000,1.00000,1.00000,1.00000
